ERROR NR.:      1581; MESS:Field KBM_MAAR does not accept null values.; CODE:Append from dbf(lcCursor); PROC:dbreq; LINE:        78; ALIAS:V_ARVREAD recno: 1; VERSIA:; KPV:01.07.2019 11:25:26;
ERROR NR.:        11; MESS:Function argument value, type, or count is invalid.; CODE:If file(cFail); PROC:init; LINE:        36; ALIAS:V_FORMAT recno: 1; VERSIA:; KPV:02.07.2019 10:53:33;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:53:34;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:02.07.2019 10:53:34;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:42:07;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 17:42:45;
ERROR NR.:        11; MESS:Function argument value, type, or count is invalid.; CODE:If file(cFail); PROC:init; LINE:        36; ALIAS:V_FORMAT recno: 1; VERSIA:; KPV:03.07.2019 17:43:01;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:43:03;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:43:03;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:47:34;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 17:48:11;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 17:48:17;
ERROR NR.:        11; MESS:Function argument value, type, or count is invalid.; CODE:If file(cFail); PROC:init; LINE:        36; ALIAS:V_FORMAT recno: 1; VERSIA:; KPV:03.07.2019 17:48:44;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:48:45;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:48:45;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:50:35;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 17:51:18;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 17:51:23;
ERROR NR.:        11; MESS:Function argument value, type, or count is invalid.; CODE:If file(cFail); PROC:init; LINE:        36; ALIAS:V_FORMAT recno: 1; VERSIA:; KPV:03.07.2019 17:51:50;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:51:51;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:51:51;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:52:26;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:52:26;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:53:25;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:53:25;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:57:02;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:57:02;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:59:50;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 17:59:50;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:07:04;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:07:04;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:09:47;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       389; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:09:47;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:40:19;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 18:41:05;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 18:41:11;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:41:28;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:41:28;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:45:51;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 18:46:45;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:47:16;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       388; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:47:16;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:55:15;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 18:58:53;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       390; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:59:19;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       390; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 18:59:19;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       390; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:00:49;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       390; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:00:49;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:09:37;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:12:58;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:14:15;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       401; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:14:30;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       401; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:14:30;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:19:02;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:19:47;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       399; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:20:01;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       399; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:20:01;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:30:10;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:30:50;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       403; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:31:05;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       403; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:31:05;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:45:07;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:46:38;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:46:41;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       391; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:46:57;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       391; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:46:57;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:50:09;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:50:48;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:51:02;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:51:02;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:56:12;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 19:56:50;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:57:03;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 19:57:03;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:00:29;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 20:01:58;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:02:14;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       385; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:02:14;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:09:30;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:03.07.2019 20:10:39;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       396; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:10:57;
ERROR NR.:        31; MESS:Invalid subscript reference.; CODE:RETURN ...; PROC:getaddress; LINE:       396; ALIAS: recno: 0; VERSIA:; KPV:03.07.2019 20:10:57;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 09:27:49;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 09:28:25;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 09:34:20;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 09:36:54;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 09:43:15;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 09:43:44;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 09:48:52;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 09:49:16;
ERROR NR.:         9; MESS:Data type mismatch.; CODE:UPDATE v_bpm_data SET kpv = {} where ISNULL(kpv); PROC:requery; LINE:        16; ALIAS:V_BPM_DATA recno: 3; VERSIA:; KPV:04.07.2019 09:49:32;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 09:52:52;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 09:53:19;
ERROR NR.:         9; MESS:Data type mismatch.; CODE:UPDATE v_bpm_data SET kpv = {} where ISNULL(kpv); PROC:requery; LINE:        17; ALIAS:V_BPM_DATA recno: 3; VERSIA:; KPV:04.07.2019 09:54:11;
ERROR NR.:         9; MESS:Data type mismatch.; CODE:UPDATE v_bpm_data SET kpv = {} where ISNULL(kpv); PROC:requery; LINE:        20; ALIAS:V_BPM_DATA recno: 3; VERSIA:; KPV:04.07.2019 09:54:39;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:04.07.2019 10:00:46;
ERROR NR.:         5; MESS:Record is out of range.; CODE:GO lnRecno; PROC:requery; LINE:        29; ALIAS:CURARVED recno: 1; VERSIA:; KPV:04.07.2019 10:05:33;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:05.07.2019 09:26:01;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:30:04;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:30:14;
ERROR NR.:        12; MESS:Variable 'LNEEKSUMMA' is not found.; CODE:lcSumma = 'EEK:'+ALLTRIM(STR(lnEEKSumma,14,2)); PROC:requery; LINE:        33; ALIAS:CURPOHIVARA recno: 1; VERSIA:; KPV:05.07.2019 09:30:14;
ERROR NR.:        12; MESS:Variable 'LCSUMMA' is not found.; CODE:.lblEURO.caption = lcSumma; PROC:requery; LINE:        38; ALIAS:CURPOHIVARA recno: 1; VERSIA:; KPV:05.07.2019 09:30:14;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:30:20;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:05.07.2019 09:36:01;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:41:28;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:41:41;
ERROR NR.:        12; MESS:Variable 'LNEEKSUMMA' is not found.; CODE:lcSumma = 'EEK:'+ALLTRIM(STR(lnEEKSumma,14,2)); PROC:requery; LINE:        33; ALIAS:CURPOHIVARA recno: 1; VERSIA:; KPV:05.07.2019 09:41:41;
ERROR NR.:        12; MESS:Variable 'LCSUMMA' is not found.; CODE:.lblEURO.caption = lcSumma; PROC:requery; LINE:        38; ALIAS:CURPOHIVARA recno: 1; VERSIA:; KPV:05.07.2019 09:41:41;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:41:44;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:05.07.2019 09:45:06;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:47:27;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:48:07;
ERROR NR.:      1924; MESS:OCONNECT is not an object.; CODE:this.visible = oConnect.chkMenu('JOURNAL','1'); PROC:TOOLSEELARVE.BTNUUSLAUSEND.INIT; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:05.07.2019 09:53:05;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:53:29;
ERROR NR.:        36; MESS:Command contains unrecognized phrase/keyword.; CODE:lcType = Evaluate(.Parametrid(i,2)); PROC:readstring; LINE:        41; ALIAS:REPOSIT recno: 1175; VERSIA:; KPV:05.07.2019 09:54:21;
